word,freq
room,798
bedroom,730
home,695
kitchen,645
private,582
bed,532
living,521
located,499
apartment,458
space,398
beach,389
new,385
house,377
guests,364
bathroom,362
full,359
enjoy,354
one,351
area,341
can,331
floor,330
large,317
bguest,312
accessbbr,311
access,308
restaurants,304
two,300
walk,290
unit,288
queen,285
just,282
minutes,269
parking,267
away,263
beautiful,260
downtown,258
spacious,250
stay,250
street,246
great,235
park,232
also,230
place,230
quiet,227
dining,226
perfect,223
close,222
things,221
fully,220
ocean,220
location,219
views,217
bath,216
size,215
bedrooms,214
condo,211
guest,210
please,206
city,202
modern,201
bother,200
free,199
neighborhood,196
comfortable,195
notebbr,194
coffee,193
walking,188
pool,185
available,184
clean,176
need,168
everything,164
wifi,163
best,160
building,157
distance,157
outdoor,157
view,157
king,156
open,155
front,152
equipped,151
heart,149
property,146
•,145
family,142
min,142
sofa,142
master,140
well,139
beds,136
shared,135
center,134
renovated,132
features,127
use,127
easy,126
entire,126
right,126
cozy,125
entrance,123
suite,123
newly,122
shops,122
like,120
within,120
back,119
including,119
air,118
amenities,118
blicense,118
patio,117
high,116
numberbbr,116
minute,115
welcome,113
blocks,110
furnished,110
central,108
make,108
resort,108
steps,107
near,106
small,106
top,106
get,105
laundry,105
short,105
day,103
lanai,101
love,101
shopping,101
feel,100
light,100
relax,100
deck,98
local,96
miles,96
appliances,95
towels,95
bars,94
main,94
offers,94
windows,94
garden,93
smart,93
experience,92
backyard,91
remodeled,91
san,91
lots,90
block,89
dryer,89
shower,89
table,88
vacation,88
brand,87
many,87
separate,87
amazing,86
around,86
level,86
south,86
take,86
studio,85
style,85
drive,84
people,84
rental,84
work,84
bathrooms,83
door,83
every,83
night,83
desk,82
floors,82
rooms,82
second,82
areas,81
microwave,81
closet,80
includes,80
nashville,80
offer,80
washer,80
big,79
plenty,79
furniture,78
square,78
stocked,78
come,77
first,77
hotel,77
safe,77
historic,76
island,76
luxury,76
outside,76
youll,76
bbq,75
beaches,75
live,75
bright,74
time,74
tub,74
austin,72
balcony,72
note,72
relaxing,72
cleaning,71
flat,71
hot,71
linens,71
may,71
find,70
provide,70
want,70
additional,69
east,69
manhattan,69
’ll,69
designed,68
extra,68
internet,68
nice,68
bay,67
ceilings,67
sleeps,67
twin,67
unique,67
car,66
check,66
’s,66
screen,65
friendly,64
train,64
yard,64
across,63
cable,63
complete,63
food,63
garage,63
tropical,63
airbnb,62
loft,62
long,62
mins,62
side,62
subway,62
district,61
gorgeous,61
looking,61
music,61
town,61
west,60
airport,59
convenient,59
less,59
natural,59
see,59
throughout,59
chairs,58
gas,58
huge,58
completely,57
cottage,57
hawaii,57
maui,57
water,57
business,56
hollywood,56
los,56
next,56
north,56
station,56
bar,55
comes,55
covid,55
ideal,55
included,55
inside,55
mattress,55
built,54
bus,54
comfort,54
couch,54
plus,54
art,53
furnishings,53
spaces,53
common,52
provided,52
sleeper,52
super,52
charming,51
famous,51
old,51
privacy,51
ride,51
sleep,51
listing,50
little,50
plan,50
seating,50
upon,50
attractions,49
comfy,49
couples,49
good,49
hardwood,49
staying,49
updated,49
world,49
centrally,48
diego,48
entry,48
fee,48
french,48
friends,48
nyc,48
office,48
pacific,48
peaceful,48
share,48
tvs,48
upstairs,48
youre,48
angeles,47
ceiling,47
families,47
fun,47
mile,47
netflix,47
per,47
swimming,47
accommodate,46
brooklyn,46
doors,46
fresh,46
line,46
recently,46
retreat,46
set,46
sized,46
washerdryer,46
breakfast,45
homebr,45
lot,45
lovely,45
public,45
rooftop,45
whole,45
checkin,44
downstairs,44
four,44
fridge,44
getaway,44
grocery,44
hawaiian,44
rent,44
village,44
wifibr,44
decorated,43
luxurious,43
refrigerator,43
feet,42
kitchenette,42
nearby,42
roombr,42
stainless,42
stunning,42
along,41
ground,41
host,41
include,41
keep,41
provides,41
story,41
beautifully,40
community,40
grill,40
makes,40
santa,40
single,40
spot,40
university,40
wood,40
book,39
chair,39
dishwasher,39
groups,39
mission,39
much,39
must,39
speed,39
tax,39
travelers,39
upper,39
watch,39
always,38
ave,38
conveniently,38
custom,38
explore,38
fast,38
foam,38
hills,38
lake,38
lounge,38
lower,38
stores,38
sunny,38
wonderful,38
comfortably,37
end,37
even,37
major,37
nightlife,37
travel,37
york,37
awaybr,36
gated,36
market,36
monica,36
morning,36
orleans,36
three,36
bike,35
convenience,35
corner,35
entertainment,35
featuring,35
fireplace,35
granite,35
hill,35
memory,35
nestled,35
residential,35
restaurant,35
situated,35
sunset,35
accessible,34
areabr,34
basement,34
cool,34
golf,34
life,34
meals,34
quality,34
seattle,34
stairs,34
stove,34
baths,33
conditioning,33
cooking,33
double,33
jacuzzi,33
kitchenbr,33
let,33
original,33
steel,33
sun,33
sunsets,33
theres,33
waikiki,33
’re,33
bathroombr,32
bedbr,32
cafes,32
etc,32
fire,32
homes,32
interior,32
know,32
maker,32
