host_since,host_listings_count_total,host_listings_count_entire_homes,host_listings_count_private_rooms,host_listings_count_shared_rooms,locale,month_host_joined,host_response_proportion,host_acceptance_proportion,id_host
2012-03-01,11,11,0,0,Austin,02,1,0.85,1840480
2012-03-02,1,1,0,0,Austin,03,1,0.96,1845598
2011-12-09,21,21,0,0,Austin,12,0.98,0.99,1488733
2012-03-04,1,1,0,0,Austin,03,0.9,0.99,1854873
2012-03-08,1,1,0,0,Austin,03,1,1,1887493
2012-02-14,3,3,0,0,Austin,02,1,0.99,1752493
2012-01-25,1,1,0,0,Austin,01,1,0.99,1652515
2012-04-14,3,3,0,0,Austin,04,1,1,2141281
2012-04-17,9,9,0,0,Austin,04,1,0.99,2157243
2012-04-19,1,1,0,0,Austin,04,1,0.71,2177425
2012-04-23,1,1,0,0,Austin,04,1,1,2200336
2011-08-25,1,1,0,0,Austin,08,1,0.96,1021729
2012-03-13,3,1,2,0,Austin,03,1,1,1918269
2012-05-27,4,4,0,0,Austin,05,1,0.82,2476440
2011-07-08,1,1,0,0,Austin,07,1,0.96,793021
2012-06-04,1,1,0,0,Austin,06,1,0.94,2546775
2012-06-06,1,1,0,0,Austin,06,1,1,2567934
2012-05-31,1,1,0,0,Austin,05,1,0.97,2507231
2012-06-10,1,1,0,0,Austin,06,1,0.91,2595932
2012-05-24,1,0,1,0,Austin,05,1,1,2457470
2012-12-05,1,1,0,0,Austin,12,1,0.98,4335991
2012-07-05,1,1,0,0,Austin,07,1,0.88,2839795
2013-08-06,1,1,0,0,Austin,08,1,0.99,7976770
2012-07-13,2,2,0,0,Austin,07,1,0.99,2927288
2011-10-12,2,2,0,0,Austin,10,1,0.95,1282837
2012-06-04,1,0,1,0,Austin,06,1,0.76,2546033
2012-07-19,1,0,1,0,Austin,07,1,0,2989106
2011-07-11,2,2,0,0,Austin,07,1,0.99,806961
2009-04-06,2,2,0,0,Austin,04,0.71,0.57,12409
2012-05-22,6,6,0,0,Austin,05,1,0.98,2436512
